,page,date,total_visits
29,Adam_Levine_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,2893344
30,Adam_Sandler_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,3602077
31,Adolf_Hitler_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,10405306
32,Adolf_Hitler_en.wikipedia.org_desktop_all-agents,2016-01-01 00:00:00,4668922
33,Adolf_Hitler_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,5561105
34,Agents_of_S.H.I.E.L.D._en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,3913817
35,Akshay_Kumar_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,4218881
36,Al_Capone_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,3289376
37,Alan_Turing_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,5038088
38,Albert_Einstein_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,7100765
39,Albert_Einstein_en.wikipedia.org_desktop_all-agents,2016-01-01 00:00:00,3369013
40,Alexander_the_Great_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,3936491
41,Alexandra_Daddario_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,3451676
42,Amazon.com_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,4242317
43,Amber_Heard_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,5158988
44,Amber_Heard_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,3030408
45,Amber_Rose_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,4575897
46,America's_Got_Talent_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,1768417
47,American_Civil_War_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,5673236
48,American_Civil_War_en.wikipedia.org_desktop_all-agents,2016-01-01 00:00:00,2881296
49,American_Civil_War_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,2712521
50,American_Horror_Story_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,6089691
51,Amy_Poehler_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,2448805
52,Amy_Schumer_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,3302076
53,Amy_Schumer_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,2033066
54,Amy_Winehouse_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,4095377
55,Amy_Winehouse_en.wikipedia.org_desktop_all-agents,2016-01-01 00:00:00,1480095
56,Amy_Winehouse_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,2543406
57,Amyotrophe_Lateralsklerose_de.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,1140789
58,Amyotrophe_Lateralsklerose_de.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,694094
59,Anal_sex_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,3639885
60,Anal_sex_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,2604860
61,Android_(operating_system)_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,4415471
62,Android_version_history_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,4257298
63,Andy_Murray_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,4268347
64,Andy_Murray_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,2824476
65,Angela_Merkel_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,2404469
66,Angelina_Jolie_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,7856721
67,Angelina_Jolie_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,5251630
68,Anna_Faris_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,2899667
69,Anna_Faris_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,1884670
70,Anna_Kendrick_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,4465965
71,Ant-Man_(film)_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,2956469
72,Ant-Man_(film)_en.wikipedia.org_desktop_all-agents,2016-01-01 00:00:00,1355814
73,Ant-Man_(film)_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,1521018
74,Anthony_Davis_(basketball)_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,1020606
75,Anthony_Davis_(basketball)_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,641441
76,Antonin_Scalia_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,3950474
77,Apollo_Creed_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,748569
78,Apple_Inc._en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,5024877
79,Area_51_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,3188216
80,Argentina_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,3157541
81,Argentina_es.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,3215100
82,Argentina_national_football_team_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,1812105
83,Argentina_national_football_team_en.wikipedia.org_desktop_all-agents,2016-01-01 00:00:00,887719
84,Argentina_national_football_team_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,903475
85,Ariana_Grande_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,8054842
86,Ariana_Grande_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,4761963
87,Arnold_Schwarzenegger_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,6982132
88,Arnold_Schwarzenegger_en.wikipedia.org_desktop_all-agents,2016-01-01 00:00:00,2366607
89,Arnold_Schwarzenegger_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,4513027
90,Arroba_(sÃ­mbolo)_es.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,5102560
91,Arroba_(sÃ­mbolo)_es.wikipedia.org_desktop_all-agents,2016-01-01 00:00:00,4895899
92,Arrow_(TV_series)_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,6277655
93,Arrow_(TV_series)_en.wikipedia.org_desktop_all-agents,2016-01-01 00:00:00,3529458
94,Arrow_(sÃ©rie_tÃ©lÃ©visÃ©e)_fr.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,1071110
95,Arrow_(sÃ©rie_tÃ©lÃ©visÃ©e)_fr.wikipedia.org_desktop_all-agents,2016-01-01 00:00:00,597205
96,Arrow_(sÃ©rie_tÃ©lÃ©visÃ©e)_fr.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,453564
97,Arsenal_F.C._en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,3725029
98,Ashoka_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,2816672
99,Ashoka_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,1851360
100,Ashton_Kutcher_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,4437119
101,Asperger_syndrome_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,4539589
102,Asperger_syndrome_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,2810666
103,Assassin's_Creed_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,4941639
104,Attack_on_Titan_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,3058619
105,Audrey_Hepburn_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,4313667
106,Audrey_Hepburn_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,2737338
107,Australia_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,7445673
108,Australia_en.wikipedia.org_desktop_all-agents,2016-01-01 00:00:00,4214951
109,Avatar_(2009_film)_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,3404439
110,Avengers:_Age_of_Ultron_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,4136892
111,Avengers:_Age_of_Ultron_en.wikipedia.org_desktop_all-agents,2016-01-01 00:00:00,1806226
112,Avengers:_Age_of_Ultron_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,2223214
113,BDSM_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,4244480
114,BDSM_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,2737344
115,Bajrangi_Bhaijaan_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,1079570
116,Ballers_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,1597738
117,Baloncesto_es.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,3982325
118,Bangladesh_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,4100487
119,Barack_Obama_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,16701967
120,Barack_Obama_en.wikipedia.org_desktop_all-agents,2016-01-01 00:00:00,7165035
121,Barack_Obama_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,9267004
122,Batman_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,4289118
123,Batman_v_Superman:_Dawn_of_Justice_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,18770875
124,Batman_v_Superman:_Dawn_of_Justice_en.wikipedia.org_desktop_all-agents,2016-01-01 00:00:00,7997645
125,Battle_of_the_Somme_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,2340141
126,Belgium_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,3550613
127,Bella_Thorne_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,2761448
128,Bella_Thorne_en.wikipedia.org_desktop_all-agents,2016-01-01 00:00:00,982169
129,Bella_Thorne_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,1739530
130,Ben_Affleck_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,5965347
131,Ben_Affleck_en.wikipedia.org_desktop_all-agents,2016-01-01 00:00:00,2200436
132,Ben_Affleck_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,3661716
133,Ben_Carson_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,2699097
134,Benjamin_Franklin_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,3801405
135,Bermuda_Triangle_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,3706946
136,Bernie_Sanders_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,12543107
137,Bernie_Sanders_en.wikipedia.org_desktop_all-agents,2016-01-01 00:00:00,5754716
138,Bernie_Sanders_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,6555616
139,BeyoncÃ©_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,8056752
140,Bill_Clinton_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,10150845
141,Bill_Gates_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,6126788
142,Bill_Gates_en.wikipedia.org_desktop_all-agents,2016-01-01 00:00:00,2776310
143,Bill_Gates_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,3270121
144,Bipolar_disorder_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,3757420
145,Bitcoin_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,3951159
146,Blake_Lively_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,7741023
147,Bob_Marley_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,4873501
148,Bolivia_es.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,1529583
149,Bones_(TV_series)_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,2740956
150,Bonnie_and_Clyde_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,2918629
151,Borderline_personality_disorder_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,3019301
152,Brad_Pitt_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,6308368
153,Bradley_Cooper_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,3708304
154,Brazil_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,5055287
155,Brazil_national_football_team_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,2084450
156,Breaking_Bad_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,4969660
157,Brian_Wilson_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,2623520
158,Britney_Spears_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,4825435
159,Brittany_Murphy_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,3777701
160,Brock_Lesnar_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,6043786
161,Bruce_Lee_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,5775454
162,Bruno_Mars_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,5619354
163,Bryce_Dallas_Howard_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,2771309
164,Bryce_Dallas_Howard_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,1742859
165,Buddhism_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,3412250
166,Burj_Khalifa_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,3445658
167,Caitlyn_Jenner_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,5411053
168,Caitlyn_Jenner_en.wikipedia.org_desktop_all-agents,2016-01-01 00:00:00,1647307
169,Caitlyn_Jenner_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,3693901
170,California_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,4985559
171,Calvin_Harris_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,2741837
172,Calvin_Harris_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,1518451
173,Cameron_Diaz_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,3648779
174,Canada_Day_en.wikipedia.org_desktop_all-agents,2016-01-01 00:00:00,265804
175,Canada_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,7982459
176,Canada_en.wikipedia.org_desktop_all-agents,2016-01-01 00:00:00,4495711
177,Canada_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,3363223
178,Captain_America:_Civil_War_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,18816132
179,Captain_America:_Civil_War_en.wikipedia.org_desktop_all-agents,2016-01-01 00:00:00,8884485
180,Captain_America:_Civil_War_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,9484318
181,Cara_Delevingne_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,5498450
182,Cara_Delevingne_en.wikipedia.org_desktop_all-agents,2016-01-01 00:00:00,2108548
183,Cara_Delevingne_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,3315423
184,Cards_Against_Humanity_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,969204
185,Carlos_Slim_es.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,704770
186,Casey_Affleck_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,2798848
187,Cat_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,3291612
188,Channing_Tatum_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,4606774
189,Channing_Tatum_en.wikipedia.org_desktop_all-agents,2016-01-01 00:00:00,1307631
190,Channing_Tatum_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,3230833
191,Charles_Manson_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,6402759
192,Charles_Manson_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,4301338
193,Charlie_Chaplin_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,4255026
194,Charlie_Puth_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,2732625
195,Charlize_Theron_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,4157375
196,Che_Guevara_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,4733781
197,Chelsea_F.C._en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,3849929
198,Chernobyl_disaster_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,4607165
199,Chernobyl_disaster_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,2497007
200,Chicago_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,3480923
201,Chile_es.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,1959693
202,China_Netcom_en.wikipedia.org_desktop_all-agents,2016-01-01 00:00:00,2659864
203,China_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,7331331
204,China_en.wikipedia.org_desktop_all-agents,2016-01-01 00:00:00,4423781
205,ChloÃ«_Grace_Moretz_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,5060250
206,Chris_Brown_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,2989642
207,Chris_Brown_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,1915819
208,Chris_Christie_en.wikipedia.org_desktop_all-agents,2016-01-01 00:00:00,676487
209,Chris_Evans_(actor)_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,4865279
210,Chris_Farley_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,1206983
211,Chris_Hemsworth_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,4897019
212,Chris_Kyle_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,4204873
213,Chris_Kyle_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,2935097
214,Chris_Pratt_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,4487667
215,Chris_Pratt_en.wikipedia.org_desktop_all-agents,2016-01-01 00:00:00,1594058
216,Chris_Pratt_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,2811091
217,Chrisley_Knows_Best_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,1705974
218,Chrisley_Knows_Best_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,1330199
219,Chrissy_Teigen_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,4079132
220,Chrissy_Teigen_en.wikipedia.org_desktop_all-agents,2016-01-01 00:00:00,1095408
221,Chrissy_Teigen_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,2927786
222,Christian_Bale_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,3421165
223,Christopher_Columbus_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,3938857
224,Ciara_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,2149835
225,Clarence_Thomas_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,1992385
226,Clint_Eastwood_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,5672221
227,Colin_Farrell_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,2157721
228,Computer_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,3003113
229,Conor_McGregor_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,9298970
230,Conor_McGregor_en.wikipedia.org_desktop_all-agents,2016-01-01 00:00:00,3806248
231,Conor_McGregor_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,5374476
232,ContaminaciÃ³n_es.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,3082309
233,Copa_AmÃ©rica_2011_es.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,204263
234,Copa_AmÃ©rica_2015_es.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,474513
235,Copa_AmÃ©rica_2015_es.wikipedia.org_desktop_all-agents,2016-01-01 00:00:00,228732
236,Copa_AmÃ©rica_2015_es.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,240985
237,Copa_AmÃ©rica_2015_fr.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,70123
238,Copa_AmÃ©rica_Centenario_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,5516448
239,Copa_AmÃ©rica_Centenario_es.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,3371456
240,Copa_AmÃ©rica_Centenario_es.wikipedia.org_desktop_all-agents,2016-01-01 00:00:00,1580434
241,Copa_AmÃ©rica_Centenario_es.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,1760155
242,Copa_AmÃ©rica_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,2759640
243,Copa_AmÃ©rica_en.wikipedia.org_desktop_all-agents,2016-01-01 00:00:00,974836
244,Copa_AmÃ©rica_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,1728933
245,Copa_AmÃ©rica_es.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,2101259
246,Copa_AmÃ©rica_es.wikipedia.org_desktop_all-agents,2016-01-01 00:00:00,780532
247,Copa_AmÃ©rica_es.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,1301169
248,Copa_Mundial_de_FÃºtbol_de_2014_es.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,823796
249,Copa_Mundial_de_FÃºtbol_es.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,1329032
250,Courteney_Cox_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,3272637
251,Creed_(film)_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,3768690
252,Creed_(film)_en.wikipedia.org_desktop_all-agents,2016-01-01 00:00:00,1502887
253,Creed_(film)_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,2176057
254,Criminal_Minds_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,3637944
255,Cristiano_Ronaldo_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,11841543
256,Cristiano_Ronaldo_en.wikipedia.org_desktop_all-agents,2016-01-01 00:00:00,3958648
257,Cristiano_Ronaldo_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,7723039
258,Cristiano_Ronaldo_es.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,3985176
259,Croatia_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,2718847
260,Crohn's_disease_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,3170093
261,Cuba_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,3547951
262,Cyprus_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,2749373
263,Czech_Republic_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,2848683
264,D._B._Cooper_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,2061251
265,DC_Universe_Animated_Original_Movies_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,3751258
266,Daenerys_Targaryen_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,1830728
267,Dakota_Johnson_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,2922151
268,Dakota_Johnson_es.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,513856
269,Dakota_Johnson_es.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,339422
270,Dan_Bilzerian_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,3548674
271,Dan_Bilzerian_en.wikipedia.org_desktop_all-agents,2016-01-01 00:00:00,1014663
272,Dan_Bilzerian_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,2488308
273,Daredevil_(TV_series)_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,4334346
274,Dark_Matter_(TV_series)_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,1992663
275,David_Attenborough_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,2842531
276,David_Beckham_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,3810480
277,David_Beckham_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,2547501
278,Deadpool_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,10280690
279,Deaths_in_2015_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,829914
280,Deaths_in_2015_en.wikipedia.org_desktop_all-agents,2016-01-01 00:00:00,490988
281,Deaths_in_2015_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,326797
282,DeclaraciÃ³n_de_independencia_de_la_Argentina_es.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,1039396
